Name,Reason,Line,AudioKey
ticket_1,Ticket,"You. Programmer. The legacy system threw again overnight. Fix it before I have to explain it to anyone. And you do it by hand — I'm not paying a senior developer to ask a machine.",mrshall_ticket_1
ticket_closed_1,Ticket.Closed,"You. Programmer. It is producing. I did not authorise a change to the grader, and I can see that you did not do it by hand. There will be another ticket.",mrshall_ticket_closed_1
power_vision_1,Power.CodeVision,"You. Programmer. Whatever you think you just did, the walls are where they have always been. Do the ticket.",mrshall_power_vision_1
power_refactor_1,Power.Refactor,"You. Programmer. That value was set by someone who thought about it longer than you have. Put it back and do the ticket.",mrshall_power_refactor_1
power_compile_1,Power.Compile,"Parts I never issued, assembled into something I never approved. Nothing in my shop builds itself, Programmer. What are you using?",mrshall_power_compile_1
power_testdrive_1,Power.TestDrive,"A senior developer does not try it both ways and keep whichever he likes — he knows. I am watching the work now, Programmer. Take that as a warning.",mrshall_power_testdrive_1
power_deploy_1,Power.Deploy,"You put that into the world without my approval. Nothing goes live under my roof unless I say it does, Programmer. Do it again and there is no position to come back to.",mrshall_power_deploy_1
power_generate_1,Power.Generate,"You asked out loud and the world answered. Things do not come from nothing, Programmer — somebody makes them, and somebody is paid for it, and that was supposed to be you.",mrshall_power_generate_1
final_1,Final,"You. Programmer. I said it would never replace a senior developer. I did not say what it would do for one. There is no ticket today. Build whatever you like.",mrshall_final_1
ticket_livestock,Ticket.Livestock,"You. Programmer. Throughput is up. Something about the line looks different, and I have decided that I do not need to know what. Whatever you did, do it to the rest of them.",
battle_open,Battle.Open,"You. Programmer. I am told you have been feeding the cathedral machine. Five thousand credits — and you do understand that the house keeps a margin. You have not won anything. You have paid for something. The Architects will see you now. They designed all of this. Not one of them has ever been on call for any of it.",
ticket_architects,Ticket.Architects,"You. Programmer. The Architects have reviewed the design and approved it. They will not be available for questions, and they will not be here when it throws at three in the morning. Neither will I. That is what you are for.",
ticket_cathedral,Ticket.Cathedral,"You. Programmer. I am told you have found the machine in the cathedral. Whatever you imagine it is for, it is not for you. The Architects use it. You are not an Architect.",
